BELLA_COOLA	Sal.BELLA_COOLA	Salishan,BellaCoola		nc //	inu|nu //	iL|LmiL //								maw //	Lnus //						tL"msta|mx~ //	smLk //		wac" //	 //	Lp|stn //		 //			lic|st"uin //		six|t"kw~ //	cap //			 //					an|tnksta //	aq"w~s //	lX~s //		alic //	 //			iXw~lax|sq"w~nay //	ak|suxa //			alus //		 //	qala //			k"x~ix //	axw~snixis //			at"ma //					ki|putL" 						snX~ //		 //	q"la|xw~naL //		 //					niXw~ //			mnta|mamntni //	tL"kuL|smt //						ntL" //			anuk"w~pt|lik" //	 //				paXis|skw~acta //
CLALLAM	Sal.CENTRAL_SALISH	Salishan,CentralSalish,Straits		3c //	n3kw~ //	LniNL //								n3c"u7 //	C3s37 //						3cLtaNxw~ //	tL"acu //		sqaX37 //	N3sc3n //	sq3yaN3xw~ //		 //			k"w~3wi7 //		stukw~3n //	sc"um //			sc"ist3n //					q"w~3y3n //	q3y3N //	N3qs3n //		C3ns //	tixw~Lc //			sq"iyakw~3N //	cEs //			sq3mu7 //		st"aq37 //	qw~uqw~37 //			k"w~3n3xw~ //	yEyEn3N //			q"w~uy|Xw~3y //					3n7~a //						sqw~3y //		t"at"aw3s3na7 //	qw~u7 //		sNant //					sC3qw~3wc //			sasuL //	sXakw~3yeC //						3snat //			3syac"L //	Xew3s //				sna //
COWICHAN	Sal.CENTRAL_SALISH	Salishan,CentralSalish,Halkomelem		En8E //	 //	nim3L //								n3c"a7 //	isEla //						 //	scELt3n //		sqw~mEy7 //	mexy~c"an7 //	 //		sc"aLa7 //			k"w~3l3w7 //		s8E83y3n //	sc"am7 //			c"3yst3n //					qw~in7 //	q3l3m //	m3qs3n //		y3n3s //	t3xw~83L //			sqEw3m //	cEl3xy~ //			c"XEm3n //		sc"3l3m //	 //			l3mn3xw~ //	c"LEm //			qay //					Ew3 //						s3m7Sa83t //		kw~as3n //	qa7 //		smEnt //					hay7qw~ //			xy~EL //	 //						snEt //			s3lic" //	XEw7s //				snE //
LUSHOOTSEED	Sal.CENTRAL_SALISH	Salishan,CentralSalish,Twana		3ca //	C3xw~ //	C3L //								d3C"u7 //	sali7 //						aciLtalbixw~ //	 //		sqw~3bay7 //	bSC"ad //	 //		sC"uL3y7 //			c"ukw~3b //		stuligw~3d //	Saw" //			gw~adakw~ //					qw~3adi7 //	q3lub //	b3qs3d //		dz~3dis //	Lal3p" //			Xqp"ucid //	Cal3s //					sCalub|st"aqw~u //	qw~u7qw~a7 //			lab|SuL //	lu //			at3b3d //					3L" //						Lukw~aL //		sCusad //	qw~u7 //		C"L"a7 //					hud //			S3gw~L //	sbadil //						LaX //			l3C" //	Xaw"s|Law"t //				sda7 // 
MUSQUEAM	Sal.CENTRAL_SALISH	Salishan,CentralSalish,Halkomelem		En8E //	 //	nim3L //								n3c"a7 //	isEla //						 //	scELt3n //		sqw~mEy7 //	mexy~c"an7 //	 //		sc"aLa7 //			k"w~3l3w7 //		s8E83y3n //	sc"am7 //			c"3yst3n //					qw~in7 //	q3l3m //	m3qs3n //		y3n3s //	t3xw~83L //			Sqpal83t3n //	cEl3xy~ //			sil3s //		sc"3l3m //	 //			k"w~3cn3xw~ //	c"LEm //			qay //					3mi //						sy~aqw~3m //		kw~as3n //	qa7 //		smEnt //					hay7qw~ //			xy~EL //	 //						snEt //			s3lic" //	XEw7s //				skw~ixy~ //
SALISH_STRAITS	Sal.CENTRAL_SALISH	Salishan,CentralSalish,Straits		3s3 //	n3kw~3 //	LniN3L //								n3t8"37 //	C3s37 //						3LtelN3xw~ //	piS //		sqeX37 //	N3s3n //	sq3lelN3xw~ //		st8"at8"L37 //			k"w~3l3w //		8esC3n //	st8"am //			st8"ist3n //					q"w~3l3n //	q3l3N //	N3qs3n //		C3n3s //	tixw~83L //			sq"ekw~3N //	sel3s //			sq3ma7|t8"3N3L //		t"eq3 //	qw~aq~37 //			k"w~3n3xw~ //	l3len3N|3len3xw~ //			Xw~3l|q"w~Ey //					3n7e //						sqw~3qw~3l|sy~al3qw~3m //		kw~as3n //	qw~a7 //		sNen3t //					Caqw~3L|san3ws37 //			Sq"3ms3t|saL //	sNen3t //						snet //			l3t8"|slet8"3L //	X3w3s //				n3him3t|kw~Sem3n //
SAMISH	Sal.CENTRAL_SALISH	Salishan,CentralSalish,Straits		 //	 //	 //								n3c"a7|ne8e //	C3sa7|C3se7 //						3LtelN3xw~|3Ltel3N3xw~ //	sCen3xw~ //		sqw~3mey"|sqw~3mey //	N3s3n|X3Xak"w~ //	sq3lelN3xw~ //		sc"ac"3La7|s8"a8"3L37 //			k"w~3l3w" //		seSC3n|8eSC3n //	sc"am"|s8"am" //			c"istn //					q"w~3l3n" //	q3l3N" //	N3qs3n //		C3n3s //	tixw~s3L //			sq"ekw~3N //	sel3s //			sq3ma7 //		t"eq37|t"eqe7 //	qw~aqw~aqw~37 //			leNn3xw~ //	l3len"N //			q"w~ay //					3n"e|3ne //						 //		kw~as3n //	qw~a7 //		sNen3t|sNent //					sC3qw~3w"s37|sCeqw~u7s37 //			 //	sNen3t|snent //						snet|net //			l38" //	Xaw"3s|Xaw3s //				sne //
SLIAMMON	Sal.CENTRAL_SALISH	Salishan,CentralSalish,Northern		C3niL // 	n3giL // 	nimuL // 								pa7a // 	sa7a // 						qaymixw~ // 	janxw~ // 		C"an"u // 	maC"in // 	jaj"a // 		say"ja // 			xw~m"yiC // 		qw~iL // 	x3wSin // 			8apaxw~us // 					 // 	qaw"um // 	m3qs3n // 		j3nis // 	tixw~8aL // 			qw~an"iqLa // 	CayiS // 			t"8~3mt3n // 		q"at"3m // 	qw~uqw~u // 			k"w~3n // 	C"iy // 			q3y" // 					qw~3l" // 						t"3g3m // 		kw~us3n // 	qay"a // 		xaj"ays // 					xw~aw"it // 			imin // 	t"aq"t // 						nat // 			y3C" // 	xaw"s // 				nan // 
SONGISH	Sal.CENTRAL_SALISH	Salishan,CentralSalish,Straits		3s3 //	 //	LniN3L //								n3c"a7 //	C3s3 //						 //	sCEn3xw~ //		sqEX37 //	N3s3n7 //	 //		scac3La7 //			k"w~3l3w7 //		sEsC3n //	sc"am7 //			c"ist3n //					qw~al3n7 //	q3l3N //	N3qs3n //		C3n3s //	tixw~s3L //			sqEkw~3N //	sEl3s //			caN3L //		t"EqE7 //	 //			kw~3n3t //	alEn3N //			qw~ay //					3nE //						sqw~3qw~3l //		kw~as3n //	qw~a7 //		sN3n3t //					sC3qw~3w7sa //			saL //	 //						snEt //			slEc"3L //	Xaw3s //				snE //
SQUAMISH	Sal.CENTRAL_SALISH	Salishan,CentralSalish,Squamish		ens //	n3w //	numaL //								naC" //	8am //						st3lmex //	s8"uqi7 //		sqmay7~|h3yan //	m3Cn //	83q|s83q //		sC"uLa7 //			ai7us //		s8a8in //	Sau7 //			8"istn //					ayan|q"3lan //	ay"us|qlum7~ //	m3qsn //		ans|y3nis //	alx~8aL //			ay7~3qSn //	aC|naC //			skim7~ //		L3q"tn //	taq //			k"aCnex //	tkayanmin //			haq|q"uy //					mi //						sn3qm //		kusn //	qu|qul //		smant //					hi|i3q //			 //	smanit //						nat //			iC"|i3C" //	Xaw7~s //				neX|na //
TWANA	Sal.CENTRAL_SALISH	Salishan,CentralSalish,Twana		d3ca //	 //	dibaL //								daqas //	3sali //						 //	siLad //		sqw~ebay7 //	b3sC3d7 //	 //		q"w~iLo7oy //			sLi7iCL //		sd3xw~qol //	Saw7 //			w3daw7 //					qw~3ladi //	d3xw~La7ays3b3d //	b3qs3d //		y3dis //	d3xw~caC //			k"w~p3lalxp //	CalaS //			sk3pbid //		sCalab //	 //			XE7 //	CaCal3b //			at3b3d //					ci7o //						sLukw~aL //		LEL3C3y3s //	qo7 //		sCatas //					asqw~at" //			SuwaL //	 //						CaL //			qol //	c"ic"axw~ //				subat //
