id	entry_id	annotationtype_id	start	end	value	string
1380673	143100	51	0	7	bold	ároobe
1380674	143100	51	8	18	italic	conj.pron.
1380675	143100	52	39	39	hyphen	""
1380676	143100	52	39	39	newline	""
1380677	143100	52	39	39	tab	""
1380678	143100	52	72	72	hyphen	""
1380679	143100	52	72	72	newline	""
1380680	143100	52	72	72	tab	""
1380681	143100	51	106	109	italic	Tá
1380682	143100	52	109	109	hyphen	""
1380683	143100	52	109	109	newline	""
1380684	143100	52	109	109	tab	""
1380685	143100	51	109	148	italic	ñáhbeke dsí̵jí̵vétsoróme. Ároobe
1380686	143100	52	148	148	newline	""
1380687	143100	52	149	149	tab	""
1380688	143100	51	149	167	italic	tsiiñe bohí̵í̵.
1380689	143100	52	189	189	hyphen	""
1380690	143100	52	189	189	newline	""
1380691	143100	52	189	189	tab	""
3630160	143100	53	0	7	head	ároobe
3630161	143100	53	8	18	pos	conj.pron.
3630162	143100	53	18	28	translation	pero cuyo
3630163	143100	53	30	104	translation	sin embargo ese (hombre o animal macho mencionado en la oración anterior)
3630164	143100	53	106	167	example-src	Táñáhbeke dsí̵jí̵vétsoróme. Ároobe tsiiñe bohí̵í̵.
3630165	143100	53	167	217	example-tgt	 Casi mataron a mi hermano; sin embargo, se sanó.
3673195	143100	54	0	7	headorthographic	# á r oo b e #
1380692	143101	51	0	7	bold	árolle
1380693	143101	51	8	18	italic	conj.pron.
3630166	143101	53	0	7	head	árolle
3630167	143101	53	8	18	pos	conj.pron.
3630168	143101	53	18	28	translation	pero cuya
3673196	143101	54	0	7	headorthographic	# á r o ll e #
1380694	143102	51	0	23	bold	árónáa/árónáaáca
1380695	143102	51	24	33	italic	conj.adv.
1380696	143102	52	43	43	newline	""
1380697	143102	52	44	44	tab	""
3630169	143102	53	0	9	head	árónáa
3630170	143102	53	10	23	head	árónáaáca
3630171	143102	53	24	33	pos	conj.adv.
3630172	143102	53	33	38	translation	pero
3630173	143102	53	40	51	translation	sin embargo
3630174	143102	53	53	65	translation	al contrario
3673197	143102	54	0	9	headorthographic	# á r ó n áa #
3673198	143102	54	10	23	headorthographic	# á r ó n áa á c a #
1380698	143103	51	0	6	bold	árone
1380699	143103	51	7	17	italic	conj.pron.
1380700	143103	52	40	40	newline	""
1380701	143103	52	41	41	tab	""
1380702	143103	52	79	79	hyphen	""
1380703	143103	52	79	79	newline	""
1380704	143103	52	79	79	tab	""
1380705	143103	51	88	117	italic	Tsanéha dihñe nanímyé tah
1380706	143103	52	117	117	hyphen	""
1380707	143103	52	117	117	newline	""
1380708	143103	52	117	117	tab	""
