id	startpage	endpage	language_bookname	language_id	book_id	component_id
7469	1	367	Español	329	46	
7470	1	367	English	330	46	
7471	1	367	achagua	343	46	
7472	1	367	awa	344	46	
7473	1	367	epena basurudó		46	
7474	1	367	giacone		46	
7475	1	367	barí	345	46	
7476	1	367	baniva	346	46	
7530	1	367	tsafiqui pila	394	46	
7477	1	367	bora	332	46	41
7478	1	367	bará	347	46	
7479	1	367	barasana	348	46	
7480	1	367	cabiyarí	349	46	
7481	1	367	cha'palaachi	350	46	
7482	1	367	cuiba	351	46	
7483	1	367	carijona	352	46	
7484	1	367	chimila	353	46	
7485	1	367	embera chamí	354	46	
7486	1	367	carapana	355	46	
7487	1	367	curripaco	356	46	
7488	1	367	catío	357	46	
7489	1	367	cubeo	358	46	
7490	1	367	desano	359	46	
7491	1	367	dí̵mɨna	360	46	
7492	1	367	embera Darién	361	46	
7493	1	367	epena Saija	362	46	
7494	1	367	guahibo	363	46	
7495	1	367	guambiano	364	46	
7496	1	367	guayabero	365	46	
7497	1	367	ika	366	46	
7498	1	367	inga	367	46	
7499	1	367	jupda	368	46	
7500	1	367	jitnu	369	46	
7501	1	367	koreguaje	370	46	
7502	1	367	kakua	371	46	
7503	1	367	kogui	372	46	
7504	1	367	kamsá	373	46	
7505	1	367	macuna	374	46	
7506	1	367	nukak	375	46	
7507	1	367	witoto mɨnɨca	333	46	41
7531	1	367	totoró	395	46	
7508	1	367	miraña	332	46	41
7509	1	367	witoto murui	335	46	41
7532	1	367	tuyuca	396	46	
7510	1	367	muinane	336	46	41
7511	1	367	witoto nɨpode	334	46	41
7533	1	367	waimaja	347	46	
7512	1	367	ocaina	337	46	41
7513	1	367	orejón	376	46	
7514	1	367	páez	377	46	
7515	1	367	playero	378	46	
7516	1	367	piapoco	379	46	
7517	1	367	puinave	380	46	
7518	1	367	piratapuyo	381	46	
7519	1	367	resígaro	382	46	
7520	1	367	secoya	383	46	
7521	1	367	siona	384	46	
7522	1	367	sáliba	385	46	
7523	1	367	siriano	386	46	
7524	1	367	tatuyo	387	46	
7525	1	367	tucano	389	46	
7526	1	367	embera Tadó	390	46	
7527	1	367	tanimuca	391	46	
7528	1	367	tunebo central	392	46	
7529	1	367	tariano	393	46	
7534	1	367	wounaan	398	46	
7535	1	367	wanano	399	46	
7536	1	367	wayuu	400	46	
7537	1	367	yucuna	401	46	
7538	1	367	yukpa	402	46	
7539	1	367	yurutí	403	46	
9560	1	80	Moresada	505	437	45
9555	1	80	Sileibi	417	437	45
9556	1	80	Katiati	415	437	45
9557	1	80	Osum	502	437	45
9561	1	80	Wadaginam	506	437	45
9558	1	80	Pondoma	503	437	45
9559	1	80	Ikundun	504	437	45
9570	1	80	Faita	511	437	45
9562	1	80	Atemple	507	437	45
9563	1	80	Angaua	416	437	45
9571	1	80	English	330	437	45
9564	1	80	Emerum	418	437	45
9565	1	80	Musak	411	437	45
9497	1	159	English	330	435	45
9498	1	159	Sinsauru	419	435	45
9566	1	80	Paynamar	414	437	45
9499	1	159	Asas	420	435	45
9500	1	159	Sausi	421	435	45
9567	1	80	Isabi	508	437	45
9501	1	159	Kesawai	422	435	45
9568	1	80	Biyom	509	437	45
9502	1	159	Dumpu	423	435	45
9569	1	80	Tauya	510	437	45
9503	1	159	Arawum	424	435	45
9504	1	159	Kolom	425	435	45
9505	1	159	Suroi	426	435	45
9506	1	159	Lemio	427	435	45
9507	1	159	Pulabu	428	435	45
9508	1	159	Yabong	429	435	45
9534	1	159	Pila	454	436	45
9509	1	159	Ganglau	430	435	45
