id	fullentry	startpage	endpage	startcolumn	endcolumn	pos_on_page	concept_id	wordlistdata_id	has_manual_annotations
1	-íinanee	1	1	1	1	25	1	7471	f
2	póʔta-ʃ	1	1	1	1	53	1	7538	f
32	i.ɯ́ɸe	1	1	1	1	65	1	7507	f
3	kon-gi̵ra	1	1	1	1	12	1	7491	f
4	kʰĩrã́me	1	1	1	1	8	1	7473	f
5	jẽ́ˈbẽ́-ro	1	1	1	1	36	1	7533	f
6	p-ébrat	1	1	1	1	57	1	7500	f
33	nɔ̃h kæd	1	1	1	1	63	1	7499	f
7	jãʔˈbã-dõ	1	1	1	1	34	1	7535	f
8	meukʰĩir Acento no se ha indicado (stress has not been marked).	1	1	1	1	9	1	7534	f
49	ˈdẽ́-diru, ˈdẽ́-ru	1	1	1	1	40	1	7490	f
9	kálʲu	1	1	1	1	23	1	7498	f
34	i.ɯ́pe	1	1	1	1	66	1	7511	f
10	lengua	1	1	1	1	1	1	7469	f
11	kobi̵nə	1	1	1	1	15	1	7475	f
12	pe-éba-to	1	1	1	1	56	1	7482	f
35	kʰĩrãmé	1	1	1	1	6	1	7526	f
13	jẽˈbẽro	1	1	1	1	37	1	7478	f
14	jẽbẽ́-rõ	1	1	1	1	45	1	7479	f
15	ˈʤeme-ɲo	1	1	1	1	48	1	7501	f
36	pe-e:-bári̵-to	1	1	1	1	55	1	7494	f
16	–	1	1	1	1	31	1	7476	f
17	ˈjẽ́bẽ-rõ	1	1	1	1	39	1	7539	f
50	koríʔgəni̵	1	1	1	1	10	1	7497	f
18	kʰĩrã́me† + kʰẽrã́me	1	1	1	1	3	1	7492	f
37	wal-lená† Véase (See) 234	1	1	1	1	28	1	7537	f
20	jeméɸikitiali† Giacone: ue-ninéne; uecnená	1	1	1	1	71	1	7474	f
21	néxe-ba	1	1	1	1	68	1	7510	f
22	wa-nène	1	1	1	1	27	1	7516	f
38	pe-é-bor-to	1	1	1	1	54	1	7515	f
23	ni̵ik²	1	1	1	1	61	1	7506	f
24	rẽˈrõkaʔ-ka	1	1	1	1	46	1	7527	f
60	dĩ̵k³	1	1	1	1	62	1	7502	f
25	-eʔhéepé	1	1	1	1	32	1	7519	f
39	ˈjẽˈbẽ-ˈrõ	1	1	1	1	42	1	7524	f
26	jẽʔˈbẽdõ	1	1	1	1	35	1	7518	f
